size_code,candidates,iterations,time_seconds,throughput_per_second,threads,cores
256,25600000,1,14.977218788,1709262.6049177535,8,16
256,25600000,1,13.51132743,1894706.5070126867,16,16
512,51200000,1,186.015432088,275245.9805365952,1,1
512,51200000,1,186.473382758,274570.0176761739,2,1
512,51200000,1,185.328105431,276266.78576856444,4,1
512,51200000,1,185.427770127,276118.2964392711,8,1
512,51200000,1,184.066203423,278160.7869769443,16,1
512,51200000,1,184.966829277,276806.38847587444,1,2
512,51200000,1,160.054978918,319890.07993453916,2,2
512,51200000,1,160.025813736,319948.38085601846,4,2
512,51200000,1,159.78855187,320423.45587846026,8,2
512,51200000,1,159.918808602,320162.4652383739,16,2
512,51200000,1,182.742530939,280175.60956891155,1,4
512,51200000,1,98.073896117,522055.3279429169,2,4
512,51200000,1,85.111152263,601566.2887724522,4,4
512,51200000,1,85.483938108,598942.9258080525,8,4
512,51200000,1,85.213206128,600845.8351290261,16,4
512,51200000,1,181.926868795,281431.766176845,1,8
512,51200000,1,99.559166918,514267.0593273435,2,8
512,51200000,1,53.60194448,955189.2286128497,4,8
512,51200000,1,47.314900034,1082111.553933501,8,8
512,51200000,1,47.638385249,1074763.549024256,16,8
512,51200000,1,184.856390709,276971.7606387695,1,16
512,51200000,1,98.803909282,518198.11960949976,2,16
512,51200000,1,51.923153544,986072.6189639618,4,16
512,51200000,1,30.443527292,1681802.4898663573,8,16
512,51200000,1,27.369286372,1870710.0837082798,16,16
1024,102400000,1,372.634786092,274799.89475464163,1,1
1024,102400000,1,366.290110465,279559.82723640744,2,1
1024,102400000,1,368.42573924,277939.321533924,4,1
1024,102400000,1,366.504237045,279396.4970926848,8,1
1024,102400000,1,364.624581175,280836.79841336195,16,1
1024,102400000,1,367.84390482,278378.9500334611,1,2
1024,102400000,1,321.42523349,318581.08614607516,2,2
1024,102400000,1,320.380343532,319620.1079975812,4,2
1024,102400000,1,319.545356767,320455.29009099666,8,2
1024,102400000,1,319.360119905,320641.1621791128,16,2
1024,102400000,1,363.679754022,281566.4024943372,1,4
1024,102400000,1,196.575214151,520920.20065836504,2,4
1024,102400000,1,170.453501218,600750.3469760731,4,4
1024,102400000,1,170.87953587,599252.5639694084,8,4
1024,102400000,1,170.509855238,600551.7971795159,16,4
1024,102400000,1,362.921002961,282155.0672585462,1,8
1024,102400000,1,197.856969126,517545.58079169434,2,8
1024,102400000,1,108.304619548,945481.3693760947,4,8
1024,102400000,1,95.174775318,1075915.3321650503,8,8
1024,102400000,1,96.676665775,1059200.7821030999,16,8
1024,102400000,1,366.927432422,279074.2554299692,1,16
1024,102400000,1,197.244529339,519152.54807400657,2,16
1024,102400000,1,109.251841251,937283.9745990342,4,16
1024,102400000,1,66.321497386,1543994.089940676,8,16
1024,102400000,1,60.130023395,1702976.2208360438,16,16
2048,204800000,1,738.477359746,277327.3916893554,1,1
2048,204800000,1,735.508081665,278446.974418535,2,1
2048,204800000,1,734.109535424,278977.44153631455,4,1
2048,204800000,1,729.975440477,280557.3840486662,8,1
2048,204800000,1,734.971760919,278650.1616659673,16,1
2048,204800000,1,730.394056774,280396.58606281574,1,2
2048,204800000,1,639.318945664,320340.8899251275,2,2
2048,204800000,1,638.134526172,320935.46360599063,4,2
2048,204800000,1,637.927692326,321039.5197820337,8,2
2048,204800000,1,638.194554377,320905.2766047557,16,2
2048,204800000,1,733.021801214,279391.4173641477,1,4
2048,204800000,1,380.448988009,538311.3280752247,2,4
2048,204800000,1,340.681790289,601147.4808391384,4,4
2048,204800000,1,342.218980558,598447.2271703528,8,4
2048,204800000,1,341.089307416,600429.2586933001,16,4
2048,204800000,1,717.332054792,285502.36760210653,1,8
2048,204800000,1,392.903727231,521247.2822371366,2,8
2048,204800000,1,216.095600585,947728.6878843379,4,8
2048,204800000,1,190.760229036,1073599.0464833758,8,8
2048,204800000,1,192.356741991,1064688.4423192309,16,8
2048,204800000,1,748.030254698,273785.7175077541,1,16
2048,204800000,1,409.260230701,500415.1017781743,2,16
2048,204800000,1,224.539949507,912087.1383896673,4,16
2048,204800000,1,129.4092749,1582575.9023706575,8,16
2048,204800000,1,113.48946081,1804572.8523009624,16,16
4096,409600000,1,1469.741487469,278688.4656194611,1,1
4096,409600000,1,1476.222733467,277464.9046611206,2,1
4096,409600000,1,1468.82408657,278862.5293832827,4,1
